iter	Passed	Remaining
434	3274	1400
435	3278	1391
436	3283	1382
437	3288	1373
438	3293	1365
439	3295	1355
440	3302	1347
441	3306	1338
442	3311	1330
443	3314	1321
444	3317	1312
445	3322	1303
446	3325	1294
447	3331	1286
448	3335	1277
449	3337	1268
450	3341	1259
451	3346	1251
452	3350	1242
453	3355	1234
454	3360	1225
455	3363	1217
456	3367	1208
457	3370	1199
458	3374	1191
459	3379	1182
460	3383	1174
461	3387	1165
462	3391	1157
463	3397	1149
464	3400	1140
465	3404	1132
466	3411	1124
467	3416	1116
468	3420	1108
469	3425	1100
470	3436	1094
471	3447	1088
472	3458	1082
473	3465	1074
474	3467	1065
475	3479	1060
476	3483	1051
477	3493	1045
478	3502	1038
479	3507	1030
480	3515	1023
481	3522	1015
482	3531	1008
483	3537	1001
484	3541	993
485	3547	985
486	3551	977
487	3554	968
488	3560	961
489	3565	953
490	3574	946
491	3579	938
492	3586	931
493	3592	923
494	3597	915
495	3604	908
496	3608	900
497	3614	892
498	3619	884
499	3622	876
500	3628	869
501	3636	862
502	3643	854
503	3650	847
504	3706	851
505	3710	843
506	3716	835
507	3730	829
508	3735	821
509	3740	814
510	3743	805
511	3748	797
512	3753	790
513	3759	782
514	3763	774
515	3766	766
516	3771	758
517	3775	750
518	3779	742
519	3782	734
520	3788	727
521	3791	718
522	3794	710
523	3796	702
524	3802	695
525	3806	687
526	3809	679
527	3812	671
528	3814	663
529	3817	655
530	3820	647
531	3824	639
532	3826	631
533	3828	623
534	3831	615
535	3833	607
536	3836	600
537	3841	592
538	3843	584
539	3846	577
540	3848	569
541	3851	561
542	3855	553
543	3859	546
544	3861	538
545	3864	530
546	3867	523
547	3869	515
548	3872	507
549	3875	500
550	3877	492
551	3880	485
552	3883	477
553	3886	470
554	3889	462
555	3895	455
556	3897	447
557	3900	440
558	3902	432
559	3906	425
560	3909	418
561	3913	410
562	3917	403
563	3920	396
564	3925	389
565	3927	381
566	3930	374
567	3933	367
568	3938	359
569	3941	352
570	3943	345
571	3947	338
572	3949	330
573	3953	323
574	3955	316
575	3960	309
576	3963	302
577	3969	295
578	3970	288
579	3972	280
580	3974	273
581	3976	266
582	3978	259
